ID,Entrance_LAT,Entrance_LON,Entrance_TIMESTAMP,Exit_LAT,Exit_LON,Exit_TIMESTAMP,Entrance_HWY,Exit_HWY
User25,38.420798,-122.715461,1572567900000,38.463714,-122.665164,1572568680000,Hwy 101,Hwy 12
User25,38.44938,-122.688424,1572575100000,38.416936,-122.716233,1572576720000,Hwy 12,Hwy 101
User25,38.431012,-122.714946,1572641880000,38.453199,-122.725932,1572642480000,Hwy 12,Hwy 101
User25,38.363163,-122.712972,1573057020000,38.435261,-122.687523,1573058460000,Hwy 101,Hwy 12
User25,38.431398,-122.740008,1573095480000,38.405048,-122.716233,1573096500000,Hwy 12,Hwy 101
User25,38.431141,-122.715804,1573142160000,38.450024,-122.686622,1573143660000,Hwy 12,Hwy 12
User25,38.348443,-122.713272,1573163340000,38.196308,-122.599675,1573164600000,Hwy 101,Hwy 101
User25,38.191287,-122.601048,1573206720000,38.435347,-122.690527,1573208700000,Hwy 101,Hwy 12
User25,38.43148400000001,-122.708938,1573229100000,38.458693,-122.674477,1573230720000,Hwy 12,Hwy 12
User25,38.427793,-122.768976,1573601220000,38.43148400000001,-122.736661,1573603800000,Hwy 12,Hwy 116
User25,38.532035,-122.795326,1573612020000,38.435175,-122.688124,1573613820000,Hwy 101,Hwy 12
User25,38.365566,-122.781593,1573663080000,38.434917,-122.692544,1573664520000,Hwy 116,Hwy 12
User26,38.42573400000001,-122.714774,1571247000000,38.392775,-122.715675,1571247780000,Hwy 101,Hwy 101
User26,38.392732,-122.715675,1571431440000,38.426592,-122.714774,1571433240000,Hwy 101,Hwy 101
User26,38.186652,-122.601692,1571699760000,38.392775,-122.715718,1571705880000,Hwy 101,Hwy 101
User26,38.434746,-122.692072,1572046020000,38.392732,-122.715675,1572047700000,Hwy 12,Hwy 101
User26,38.424532,-122.714774,1572431040000,38.392946,-122.715632,1572431880000,Hwy 101,Hwy 101
User26,38.392946,-122.715632,1572431940000,38.424532,-122.714774,1572432840000,Hwy 101,Hwy 101
User26,38.424532,-122.714774,1572516780000,38.392775,-122.715675,1572517800000,Hwy 101,Hwy 101
User26,38.426506,-122.715117,1573680120000,38.392775,-122.715675,1573682160000,Hwy 101,Hwy 101
User27,38.337929,-122.71301499999998,1571329440000,38.43281500000001,-122.701599,1571339400000,Hwy 101,Hwy 12
User27,38.434746,-122.692072,1572328800000,38.449165,-122.61413799999998,1572330180000,Hwy 12,Hwy 12
User27,38.460066,-122.67173,1572452280000,38.447663,-122.610619,1572453060000,Hwy 12,Hwy 12
User27,38.399298,-122.71619,1572712740000,38.204805,-122.598645,1572713640000,Hwy 101,Hwy 101
User27,38.455774,-122.627913,1573318020000,38.458392,-122.675335,1573323420000,Hwy 12,Hwy 101
User27,38.464958,-122.653062,1573350120000,38.461911,-122.669413,1573350720000,Hwy 12,Hwy 12
User28,38.253214,-122.639844,1572722520000,38.459722,-122.725718,1572723420000,Hwy 101,Hwy 101
User28,38.42612,-122.715203,1572827580000,38.321793,-122.713615,1572828600000,Hwy 101,Hwy 101
User28,38.258321,-122.649371,1573263060000,38.405134,-122.715632,1573263900000,Hwy 101,Hwy 101
User29,38.319904,-122.714345,1571898480000,38.187983,-122.601864,1571900040000,Hwy 101,Hwy 101
User29,38.320934,-122.714259,1571923680000,38.235447,-122.619116,1571924520000,Hwy 101,Hwy 101
User29,38.348443,-122.713229,1572218520000,38.251154,-122.636325,1572219780000,Hwy 101,Hwy 116
User29,38.327243,-122.712972,1572312960000,38.188369,-122.601864,1572313620000,Hwy 101,Hwy 101
User29,38.28205300000001,-122.683145,1573183200000,38.185837,-122.601735,1573184400000,Hwy 101,Hwy 101
User29,38.186008,-122.601649,1573549860000,38.307588,-122.71147,1573550460000,Hwy 101,Hwy 101
User30,38.397109,-122.715761,1571232300000,38.230984,-122.616884,1571233740000,Hwy 101,Hwy 101
User30,38.226649,-122.614309,1571241960000,38.422343,-122.715246,1571251980000,Hwy 101,Hwy 101
User30,38.431613,-122.70735,1571335620000,38.473627,-122.896435,1571343840000,Hwy 12,Hwy 116
User30,38.47337,-122.897808,1571427120000,38.429253,-122.747004,1571428200000,Hwy 116,Hwy 12
User30,38.42955300000001,-122.752282,1571432880000,38.473627,-122.896435,1571435940000,Hwy 12,Hwy 116
User30,38.763606,-122.989046,1571664060000,38.455646,-122.62757,1571682660000,Hwy 101,Hwy 12
User30,38.473069,-122.913043,1572013080000,38.460152,-122.72679,1572014940000,Hwy 116,Hwy 101
User30,38.479464,-122.733099,1572017040000,38.466589,-122.728164,1572021180000,Hwy 101,Hwy 116
User30,38.464014,-122.72722,1572034860000,38.483541,-122.73863500000002,1572037560000,Hwy 101,Hwy 116
User30,38.429768,-122.851974,1572356520000,38.206307,-122.598731,1572360000000,Hwy 116,Hwy 101
User30,38.241412,-122.621991,1572388380000,38.523023,-122.787344,1572390000000,Hwy 101,Hwy 101
User30,38.511435,-122.775585,1572529200000,38.447964,-122.725546,1572530940000,Hwy 101,Hwy 101
User30,38.471953000000006,-122.887938,1572556260000,38.431613,-122.707092,1572557340000,Hwy 116,Hwy 12
User30,38.443458,-122.722499,1572616080000,38.334796,-122.738978,1572620220000,Hwy 101,Hwy 116
User30,38.43436,-122.857253,1572640920000,38.479378,-122.732756,1572645120000,Hwy 116,Hwy 101
User30,38.453586,-122.726533,1572704880000,38.428523,-122.759277,1572710520000,Hwy 101,Hwy 12
User30,38.428523,-122.759277,1572710640000,38.434274,-122.857296,1572714180000,Hwy 12,Hwy 116
User30,38.434274,-122.857296,1572714300000,38.447105,-122.866566,1572721020000,Hwy 116,Hwy 12
User30,38.293254,-122.698638,1572879000000,38.23999600000001,-122.621219,1572879900000,Hwy 101,Hwy 101
User30,38.206307,-122.598731,1572883980000,38.214161,-122.602422,1572885840000,Hwy 101,Hwy 101
User30,38.222143,-122.609202,1572910140000,38.368442,-122.712285,1572911160000,Hwy 101,Hwy 101
User30,38.487746,-122.744085,1573083780000,38.502681,-122.995054,1573087740000,Hwy 101,Hwy 116
User30,38.491094,-122.749364,1573139580000,38.321793,-122.713615,1573143480000,Hwy 101,Hwy 101
User30,38.268191,-122.665078,1573171020000,38.418953,-122.715761,1573171980000,Hwy 101,Hwy 101
User30,38.352735,-122.713315,1573223400000,38.191201,-122.60122,1573224480000,Hwy 101,Hwy 101
User30,38.243343,-122.622549,1573257300000,38.296215,-122.7019,1573257900000,Hwy 101,Hwy 101
User30,38.296215,-122.7019,1573258020000,38.430497,-122.71516,1573258680000,Hwy 101,Hwy 101
User30,38.473069,-122.913129,1573483620000,38.212358,-122.601606,1573486500000,Hwy 116,Hwy 101
User30,38.214247,-122.60225,1573490040000,38.263728,-122.658083,1573495200000,Hwy 101,Hwy 116
User30,38.241927,-122.621991,1573506660000,38.460838,-122.876265,1573508340000,Hwy 101,Hwy 116
User30,38.468778,-122.884805,1573509240000,38.461267,-122.726318,1573517640000,Hwy 116,Hwy 101
User30,38.473842,-122.905404,1573570020000,38.241755,-122.621862,1573572180000,Hwy 116,Hwy 101
User30,38.221714,-122.608644,1573575420000,38.473284,-122.912871,1573578060000,Hwy 101,Hwy 116
User30,38.473026,-122.912957,1573578480000,38.363206,-122.71301499999998,1573587660000,Hwy 116,Hwy 37
User30,38.326084,-122.712972,1573591680000,38.244245,-122.623236,1573596120000,Hwy 101,Hwy 12
User30,38.220169,-122.60671299999998,1573599420000,38.340289,-122.712543,1573600500000,Hwy 101,Hwy 101
User30,38.47367,-122.895705,1573655940000,38.441655,-122.860472,1573665240000,Hwy 116,Hwy 101
User30,38.449079,-122.867553,1573666440000,38.305356,-122.709796,1573667880000,Hwy 116,Hwy 101
User31,38.13215,-122.479426,1571346960000,38.402044,-122.715547,1571353140000,Hwy 37,Hwy 101
User31,38.426163,-122.84867,1571957040000,38.470151,-123.033163,1571958840000,Hwy 116,Hwy 116
User31,38.417322,-122.716147,1572539340000,38.18467800000001,-122.601521,1572540300000,Hwy 101,Hwy 101
User31,38.116958,-122.503759,1572563460000,38.133351,-122.477495,1572564180000,Hwy 37,Hwy 37
User31,38.132922,-122.47813899999998,1572916980000,38.449552,-122.684733,1572920280000,Hwy 37,Hwy 12
User31,38.340032,-122.713143,1573045200000,38.196222,-122.599718,1573045860000,Hwy 101,Hwy 101
User31,38.498303,-122.971494,1573472760000,38.477189,-123.022863,1573473480000,Hwy 116,Hwy 116
User31,38.39526400000001,-122.819359,1573500360000,38.467791,-123.035566,1573502340000,Hwy 116,Hwy 116
User32,38.430154,-122.741811,1571844660000,38.26214,-122.65628,1571848380000,Hwy 12,Hwy 101
User32,38.432385,-122.70606200000002,1572129120000,38.331749,-122.714602,1572129780000,Hwy 12,Hwy 116
User32,38.433115,-122.721297,1572277320000,38.432042,-122.705633,1572281400000,Hwy 12,Hwy 101
User32,38.279392,-122.679283,1572308100000,38.432686,-122.729408,1572308820000,Hwy 101,Hwy 12
User32,38.45556,-122.726447,1572373500000,38.559801,-122.821676,1572376680000,Hwy 101,Hwy 101
User32,38.430111,-122.745931,1572494460000,38.431956,-122.706019,1572495060000,Hwy 12,Hwy 12
User32,38.499891,-122.760994,1572547380000,38.575079,-122.834722,1572548880000,Hwy 101,Hwy 101
User32,38.431828,-122.734472,1573333320000,38.430626,-122.711169,1573334340000,Hwy 12,Hwy 12
User32,38.42993900000001,-122.747261,1573488480000,38.332479,-122.712328,1573489200000,Hwy 12,Hwy 101
User32,38.330976,-122.710311,1573494720000,38.190343,-122.601435,1573496940000,Hwy 116,Hwy 101
User32,38.215963,-122.603065,1573501980000,38.276603,-122.675678,1573502700000,Hwy 101,Hwy 101
User32,38.462769,-122.64396399999998,1573602300000,38.433544,-122.722499,1573604940000,Hwy 12,Hwy 12
User32,38.429982,-122.746961,1573655340000,38.432857,-122.701642,1573656960000,Hwy 12,Hwy 12
